Yuli Gurriel,.115
Nathan Lukes,.167
Christian Vazquez,.115
Orlando Arcia,.222
Garrett Hampson,.150
Johan Rojas,.292
Donovan Solano,.074
Travis d'Arnaud,.115
Yoan Moncada,.190
Thomas Saggese,.423
Jacob Stallings,.125
Sean Bouchard,.238
Seth Brown,.143
Freddy Fermin,.167
Luis Matos,.200
Chase Meidroth,.190
Jared Triolo,.125
Connor Wong,.087
Jon Berti,.238
Isaac Collins,.208
Jonny DeLuca,.435
David Hamilton,.083
Gary Sanchez,.136
Victor Caratini,.238
Nolan Gorman,.263
Ivan Herrera,.381
Jose Herrera,.143
Oswald Peraza,.217
Casey Schmitt,.174
Jose Siri,.050
Tim Tawa,.211
Jordan Beck,.150
Tyler Heineman,.455
Kevin Newman,.136
Hayden Senger,.227
Drew Waters,.174
Jake Bauers,.167
Alexander Canario,.105
J.C. Escarra,.167
Nick Fortes,.300
Mickey Gasper,.111
Angel Martinez,.381
Chas McCormick,.200
Kevin Pillar,.318
Jake Rogers,.222
Ben Rortvedt,.056
Rob Refsnyder,.350
Davis Schneider,.067
Luis Urias,.235
Austin Hedges,.200
Sam Huff,.111
Manuel Margot,.316
Austin Slater,.250
Eli White,.235
Colton Cowser,.125
Stuart Fairchild,.056
Oscar Gonzalez,.333
Austin Hays,.353
DaShawn Keirsey Jr.,.111
Ramon Laureano,.118
Austin Barnes,.059
Mark Canha,.357
Henry Davis,.176
Korey Lee,.333
Jorge Mateo,.059
Austin Wynns,.267
Zach Dezenzo,.133
Tyler Freeman,.091
Brooks Lee,.143
Rafael Marchan,.083
Joshua Palacios,.133
Yohel Pozo,.400
Jurickson Profar,.200
Michael Siani,.200
Ezequiel Duran,.000
Dustin Harris,.400
Travis Jankowski,.214
Christian Koss,.143
Jesus Sanchez,.214
Adael Amador,.143
Jhonny Pereda,.286
Max Schuemann,.214
Ben Williamson,.214
Noelvi Marte,.083
Nasim Nunez,.333
Eric Haase,.182
Leo Rivas,.111
Mike Tauchman,.400
Chris Taylor,.250
Tyler Wade,.400
Gage Workman,.273
Addison Barger,.000
Jacob Hurtubise,.143
Coco Montes,.200
Omar Narvaez,.286
Tomas Nido,.444
Connor Norby,.222
Riley Adams,.000
Jose Tena,.125
Tsung-Che Cheng,.000
Pablo Reyes,.000
Blake Sabol,.167
Dylan Carlson,.000
Kody Clemens,.000
Nicky Lopez,.000
Edgar Quero,.200
Chadwick Tromp,.000
Rob Brantly,.600
Jonathan Ornelas,.000
Johnathan Rodriguez,.000
Tyler Tolbert,.000
Alex Verdugo,.000
Ji Hwan Bae,.000
Will Benson,.000
J.D. Davis,.000
Caleb Durbin,.500
Braxton Fulford,.000
Connor Joe,.000
Luke Keaschall,.500
Richie Palacios,.750
Vidal Brujan,.333
Dominic Canzone,.000
Hunter Feduccia,.000
Nick Gonzales,.333
Zach Neto,.333
Greg Jones,.000
Josh Lowe,.500
Eddie Rosario,.000
Dairon Blanco,.000
Ryne Nelson,1.000
Colin Rea,.000
Jake Bird,.000
Angel Chivilli,.000
Ryan Helsley,.000
Jeff Hoffman,.000
Joe Mantiply,.000
Justin Martinez,.000
Phil Maton,.000
Andre Pallante,.000
A.J. Puk,.000
Nick Sandlin,.000
Tanner Scott,.000
Ryan Thompson,.000
